date,inflation
26/12/2022,-0.01
27/12/2022,-0.01
28/12/2022,-0.01
29/12/2022,-0.01
30/12/2022,-0.01
02/01/2023,
03/01/2023,
04/01/2023,
05/01/2023,
06/01/2023,
09/01/2023,
10/01/2023,
11/01/2023,
12/01/2023,
13/01/2023,
16/01/2023,
17/01/2023,
18/01/2023,
19/01/2023,
20/01/2023,
23/01/2023,
24/01/2023,
25/01/2023,
26/01/2023,
27/01/2023,
30/01/2023,
31/01/2023,
01/02/2023,
02/02/2023,
03/02/2023,
06/02/2023,
07/02/2023,
08/02/2023,
09/02/2023,
10/02/2023,
13/02/2023,
14/02/2023,
15/02/2023,
16/02/2023,
17/02/2023,
20/02/2023,
21/02/2023,
22/02/2023,
23/02/2023,
24/02/2023,
27/02/2023,
28/02/2023,
01/03/2023,
02/03/2023,
03/03/2023,
06/03/2023,
07/03/2023,
08/03/2023,
09/03/2023,
10/03/2023,
13/03/2023,
14/03/2023,
15/03/2023,
16/03/2023,
17/03/2023,
20/03/2023,
21/03/2023,
22/03/2023,
23/03/2023,
24/03/2023,
27/03/2023,
28/03/2023,
29/03/2023,
30/03/2023,
31/03/2023,
03/04/2023,
04/04/2023,
05/04/2023,
06/04/2023,
07/04/2023,
10/04/2023,
11/04/2023,
12/04/2023,
13/04/2023,
14/04/2023,
17/04/2023,
18/04/2023,
19/04/2023,
20/04/2023,
21/04/2023,
24/04/2023,
25/04/2023,
26/04/2023,
27/04/2023,
28/04/2023,
01/05/2023,
02/05/2023,
03/05/2023,
04/05/2023,
05/05/2023,
08/05/2023,
09/05/2023,
10/05/2023,
11/05/2023,
12/05/2023,
15/05/2023,
16/05/2023,
17/05/2023,
18/05/2023,
19/05/2023,
22/05/2023,
23/05/2023,
24/05/2023,
25/05/2023,
26/05/2023,
29/05/2023,
30/05/2023,
31/05/2023,
01/06/2023,
02/06/2023,
05/06/2023,
06/06/2023,
07/06/2023,
08/06/2023,
09/06/2023,
12/06/2023,
13/06/2023,
14/06/2023,
15/06/2023,
16/06/2023,
19/06/2023,
20/06/2023,
21/06/2023,
22/06/2023,
23/06/2023,
26/06/2023,
27/06/2023,
28/06/2023,
29/06/2023,
30/06/2023,
03/07/2023,
04/07/2023,
05/07/2023,
06/07/2023,
07/07/2023,
10/07/2023,
11/07/2023,
12/07/2023,
13/07/2023,
14/07/2023,
17/07/2023,
18/07/2023,
19/07/2023,
20/07/2023,
21/07/2023,
24/07/2023,
25/07/2023,
26/07/2023,
27/07/2023,
28/07/2023,
31/07/2023,
01/08/2023,
02/08/2023,
03/08/2023,
04/08/2023,
07/08/2023,
08/08/2023,
09/08/2023,
10/08/2023,
11/08/2023,
14/08/2023,
15/08/2023,
16/08/2023,
17/08/2023,
18/08/2023,
21/08/2023,
22/08/2023,
23/08/2023,
24/08/2023,
25/08/2023,
28/08/2023,
29/08/2023,
30/08/2023,
31/08/2023,
01/09/2023,
04/09/2023,
05/09/2023,
06/09/2023,
07/09/2023,
08/09/2023,
11/09/2023,
12/09/2023,
13/09/2023,
14/09/2023,
15/09/2023,
18/09/2023,
19/09/2023,
20/09/2023,
21/09/2023,
22/09/2023,
25/09/2023,
26/09/2023,
27/09/2023,
28/09/2023,
29/09/2023,
02/10/2023,0.08
03/10/2023,0.08
04/10/2023,0.08
05/10/2023,0.08
06/10/2023,0.08
09/10/2023,0.08
10/10/2023,0.08
11/10/2023,0.08
12/10/2023,0.08
13/10/2023,0.08
16/10/2023,0.08
17/10/2023,0.08
18/10/2023,0.08
19/10/2023,0.08
20/10/2023,0.08
23/10/2023,0.08
24/10/2023,0.08
25/10/2023,0.08
26/10/2023,0.08
27/10/2023,0.08
30/10/2023,0.08
31/10/2023,0.08
01/11/2023,0.25
02/11/2023,0.25
03/11/2023,0.25
06/11/2023,0.25
07/11/2023,0.25
08/11/2023,0.25
09/11/2023,0.25
10/11/2023,0.25
13/11/2023,0.25
14/11/2023,0.25
15/11/2023,0.25
16/11/2023,0.25
17/11/2023,0.25
20/11/2023,0.25
21/11/2023,0.25
22/11/2023,0.25
23/11/2023,0.25
24/11/2023,0.25
27/11/2023,0.25
28/11/2023,0.25
29/11/2023,0.25
30/11/2023,0.25
01/12/2023,
04/12/2023,
05/12/2023,
06/12/2023,
07/12/2023,
08/12/2023,
11/12/2023,
12/12/2023,
13/12/2023,
14/12/2023,
15/12/2023,
18/12/2023,
19/12/2023,
20/12/2023,
21/12/2023,
22/12/2023,
25/12/2023,
